,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9391304347826087,0.88,0.8709677419354839,0.9272300469483568,0.8966993922393641,0.924571571551798
recall,0.9938650306748467,0.6470588235294118,0.84375,0.9272300469483568,0.8282246180680861,0.9272300469483568
f1-score,0.9657228017883756,0.7457627118644068,0.8571428571428571,0.9272300469483568,0.8562094569318798,0.9224555615454496
support,326.0,68.0,32.0,0.9272300469483568,426.0,426.0
