,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9442231075697212,0.7560975609756098,0.8888888888888888,0.9153605015673981,0.8630698524780733,0.9137647573006221
recall,0.9518072289156626,0.7045454545454546,0.9230769230769231,0.9153605015673981,0.8598098688460135,0.9153605015673981
f1-score,0.948,0.7294117647058823,0.9056603773584906,0.9153605015673981,0.8610240473547911,0.9143990202457041
support,249.0,44.0,26.0,0.9153605015673981,319.0,319.0
