,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.93993993993994,0.7796610169491526,0.8823529411764706,0.9131455399061033,0.8673179660218544,0.9100297269732627
recall,0.9601226993865031,0.6764705882352942,0.9375,0.9131455399061033,0.8580310958739323,0.9131455399061033
f1-score,0.9499241274658573,0.7244094488188977,0.9090909090909091,0.9131455399061033,0.8611414951252213,0.9108591952217455
support,326.0,68.0,32.0,0.9131455399061033,426.0,426.0
